nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
489.4895702543719,490.17342594691746,488.1185971214664,506.52154177711185,523.799883161273,496.37408120291633,538.8902420770561,490.32988557361483,555.2534259614497,465.6099908011306,544.3560794648677,508.8203840709874,534.4510679699132,495.78951081775546,532.0872799101337,487.94976515997087,516.4287599836083,681.6691247849246,678.4849751790373,677.8739376976384,676.2157000587108,675.9892868768609,701.340981256395,699.8468424479175,729.9590072631845,727.6455248878125,711.9206368582599,739.8313940139053,756.1267053513309,754.4828687395378,792.2973952520471,793.9832930791955,837.3817182268425,834.2794044131334
502.18191310337676,514.2954025268562,505.84944152832094,518.7788031441831,536.0979247320273,507.5650078909744,549.8640874226895,502.44694846017086,565.7815871465781,476.85262879871243,555.7970243181508,520.1044111705968,546.0137245541534,509.5474264962339,547.5883778163371,507.8461114792603,538.5197844732382,680.3990500313904,680.9624989827482,677.4084574381519,676.6047621227455,676.5896014258983,701.6739233107802,700.2381439208993,729.6520440237872,729.8363756452297,712.0738796052487,741.6764155796606,757.3125653948113,755.0474286760613,792.8488784063439,791.7228618803488,832.9333328973689,831.3874707903192
523.6249782017305,542.5601806640632,525.323940822057,531.4322633289162,548.8975964500797,519.5066052391422,560.3709033784419,514.9783792041603,577.3444769723083,497.2338950747541,568.3806493849988,530.8522306169789,556.6503710065576,522.3910213652117,564.0714362008238,527.7924808320552,562.1226788475407,680.4177489507774,683.5426432291675,675.4437648228245,678.2724990844736,678.2282246180952,703.0584091913141,701.6479212443043,730.8982703799302,733.098153977168,720.7513242449088,744.4635496593667,759.1739916120266,756.4500201997313,795.4382004510799,790.1190221877334,833.1370980399006,828.8651450020936
547.1776504516608,565.7086595807764,546.972954886301,544.5233666556229,561.8141617547905,532.0757464454294,571.500309535436,526.9859815325062,588.1269280569901,525.4444360278908,580.3400911603662,542.2053502400723,567.5668571108871,534.1726671854661,580.8262670607801,539.2168186732707,588.6260107131238,682.2774225870777,685.2370765322739,676.0951886858268,681.1179093860453,680.9770460582923,705.8050275530143,704.7360360281817,734.8263404482897,737.0694067818787,731.868714650473,747.9265056791769,761.8311673118964,758.6493661063067,799.3250870477596,788.6662430536189,838.4820411318835,829.212642851331
564.7635930379239,579.4398465837759,562.528748648508,557.5438454037628,574.7663516090037,544.6445279802601,583.0487743559345,539.1173315502356,598.8726763044093,549.3192532857266,592.4239770798463,553.7381137666255,579.0113499959317,544.919517880395,597.7423342750194,550.6356482732871,608.6528316679462,685.254918416342,687.1185310000474,678.650190080916,685.1699327741359,685.0902706327902,709.2839271908724,709.0237557547442,739.6366609845852,740.7535945347387,741.5520644415002,752.2828790573856,765.5631742931557,762.2306293305907,804.2307848249174,789.8791147867848,846.0838441394635,827.6828220912399
563.2454666864311,574.5996170043952,558.5194317045673,570.6359390985405,587.6907094319669,556.9050314767027,595.0236293247775,550.7528960818344,609.771081833613,567.3366601126542,603.7529293241963,565.924412318639,591.2596559070413,554.7481302533838,612.9187647501635,558.7921115330295,630.1007479713085,687.2312411353711,687.9327036539722,680.8312392461876,690.1892042614173,690.1042218889518,713.8239531744103,714.0084308442624,744.9373383294978,745.8304846627381,748.920108068558,757.1516055152539,770.3611748105013,767.2900223504939,808.6508389427559,794.7485911051442,852.817605154856,830.0691608247313
575.7859711419976,578.3742752075202,571.70148577009,583.2687679472431,600.4396042596734,568.6681100754518,607.3762621198389,562.658086685908,620.1182054792139,571.0722496396027,614.3143201555532,577.3411389305485,603.1607091994521,565.384597778321,626.8614788963689,564.2577570960642,649.6517660958434,691.1318105061858,689.7426198323576,685.990769159227,695.0723270234616,695.2549285888681,718.7294638497498,719.1761311122359,749.1935381208157,752.3849243890681,754.6059581211645,762.3194376627613,776.2354307628823,772.8504842122405,812.7418474469877,799.2549634661003,853.0030844552188,834.53686959403
588.1423797607429,576.1643760317855,592.4197002592548,595.2737924484987,612.6378758748381,579.6067828223826,619.1232703072692,573.4798086257215,629.9828498477035,585.7007344563809,625.8696303594688,587.4871699015307,613.8726461501357,577.1950503758029,639.8307793026887,567.1035034542999,663.979549589612,694.672390165784,690.2378372919001,692.5398777553022,699.4127916608546,699.933038257418,722.7942315964481,723.8018689836783,752.3170554751451,756.2485326131194,761.3399992443276,768.3454822358641,781.9714769635891,778.4531715029772,816.6734204973503,802.7668631417421,849.1686474028098,841.8484758649564
605.4783692132867,585.9500674293163,608.3058653331947,606.6868867420022,624.3798602876217,590.8646810622449,629.9332733154305,584.1007632300974,639.294630868095,598.1130654471268,637.5531067621148,596.0880010695691,623.1296546572738,589.829156058176,651.220880054293,566.8568313235336,673.2472853887657,699.286770411901,692.5977245512471,696.9153413318461,702.6501809983035,703.3651689801907,725.6092471168164,728.164421808153,755.8935125441787,760.9587460472479,769.4690798804883,773.5104798816509,785.6993589855385,782.3920644124358,819.5118844168537,803.5877816336506,845.9922092982712,845.3709912981316
625.6929244995125,601.2075551350919,628.1541010538745,617.0625403268004,634.9037402925045,601.2767512003588,638.839657011487,593.659844171434,648.1406406220945,608.1426507859011,647.8409932454435,602.3133813767214,629.9734377179835,603.0021918160583,659.7733859107616,567.9955853053509,680.0287003290094,704.388563246955,695.2490234375009,702.3377096993592,704.5951944986988,705.6543404715411,727.0112820579901,730.9292213803255,757.7553990681976,766.6431154523586,775.1478889102037,777.9208032517216,787.4938470749637,784.946045648485,823.5706118629103,801.354992821104,844.5348648797909,847.5985274541956
